Housing,BodyWeight.end,BodyWeight.start,BrainWeight,AdrenalWeight,LiverWeight,HeartWeight,BodyLength,BrdU,Ki67,Neurons,Astrocytes,Cholesterol,log.corticosterone,Glucose,log.triglycerides,Hippocampus,DG,IMF,SMF,Hilus,EntorhinalCortex,CingulateCortex,MotorCortex,NOR.DI,NOR.exploration.T1,NOR.exploration.T2,NOR.exploration.T3,NOR.exploration.T4,NOR.exploration.T5,Rotarod.MeanDuration,OF.RE.T1,OF.RE.T2,OF.habituation,OF.CenterDuration.T1,OF.CenterDuration.T2
CTRL,22.6,17.68,0.49,50,0.9,0.12,9.65,118,184,531,135,1.0394017907,11.3451420827,16.3502938642,-1.2187554113,8.68192,1.8077,6.6575,30.4625,31.66,NA,1108.48675,746.4046222222,-0.5616073662,23.56666,19.33329,25.69993,15.79999,17.20003,101,0.8871070925,0.8027812894,0.0843258031,68.4666,24.4333
CTRL,22.1,16.1,0.49,49,0.9,0.12,9.65,125,291,608,60,0.9885856726,11.5670384682,21.9129340532,-1.0915046984,8.9113,1.84225,6.8675,32.4625,29.735,632.2283333333,1058.9338333333,782.1046333333,-1,2.66666,1.333332,1.5,1.86666,2.566665,113,0.8696364956,0.798877685,0.0707588105,66.9666,53.5666
ENR,22.1,17.26,0.5,52,0.99,0.13,9.85,187,281,942,112,1.1454238361,11.0906472118,32.4269101919,-0.1773417424,9.61215,1.92217,6.63,32.9925,33.895,701.7198333333,1120.6225,708.1325,-1,11.39999,3.26666,0.633332,0,0,119,0.8259748075,0.5258361948,0.3001386128,38.2666,4.39999
ENR,20.6,17.17,0.5,50,0.87,0.1,9.55,141,277,759,80,0.9273816428,10.9206182066,14.1236208182,-1.0993189448,9.14647,1.86602,7.7,37.7425,35.1225,812.9695,1103.0641666667,831.2330333333,-0.0081292881,31.96663,9.53333,4.09999,3.46666,0,242,0.8227135066,0.1431951365,0.6795183701,44.6,1.6
ENR,19.9,16.5,0.47,44,0.76,0.1,9.35,205,219,1061,147,0.8617750318,11.3407515746,23.2031639453,-1.1098784518,8.52485,1.71373,4.405,32.355,20.8175,634.92,1178.8516666667,722.7035,NA,6.03333,8.43333,0,4.89999,4.83333,233,0.7985659877,0.5380589376,0.2605070501,30.7666,7.59999
CTRL,23.4,18.2,0.48,54,1.05,0.14,9.95,115,195,518,124,1.0566917693,11.489425533,25.1145673037,-0.906178186,7.7106,1.51745,6.7725,28.2075,22.06,678.33175,1118.8695,796.9348,0.0178580517,11.76665,4.59999,7.46666,6.29999,8.63332,73,0.882355184,0.7769961859,0.1053589981,81.9666,28.3666
ENR,21.3,16.64,0.47,47,0.9,0.12,9.6,258,219,1455,62,0.8300069921,11.6078476726,25.1779977018,-0.8036581855,9.3909,1.95345,6.6025,30.66,34.93,682.5578333333,1163.3685,684.1560666667,NA,15.133366,14.833366,0,0.399999,0,128,0.8106914748,0.6123254654,0.1983660094,52.8666,32.2333
ENR,20.8,17.91,0.5,51,0.75,0.13,9.65,189,252,965,133,0.9020338245,12.1874803518,21.7815513644,-0.965412902,9.0351,1.9162,5.4675,33.7375,31.48,689.4535,1224.6945833333,780.9892,-0.4328363555,39.6999,36.766666,17.86666,2.46666,1.16667,214,0.8836440525,0.5326940129,0.3509500395,73.0333,24.9
CTRL,22,15.59,0.5,52,0.98,0.11,9.8,117,290,527,119,1.054233389,10.8856945769,30.4645501301,-0.6111188416,8.78347,1.91832,5.255,32.19,31.5825,686.8283333333,1101.5755833333,832.5170333333,-0.1194046558,20.30003,4.033326,4.46666,1.46666,1.13333,59,0.8944233489,NA,NA,74.3666,NA
ENR,19.7,16.1,0.49,47,0.88,0.12,9.5,241,193,1232,170,0.7012894349,11.0600406405,14.6400046418,-0.874284995,6.50117,1.21648,6.0375,22.6225,20.0925,657.2116666667,1168.87,758.2251479167,0.4416248138,23.59996,6.3,6.56666,11.59999,2.7,198,0.825852527,0.6359831699,0.1898693571,45.8666,18.8
CTRL,23.1,17.2,0.48,59,1.01,0.11,9.8,132,217,602,127,0.8778534717,11.4262012169,15.1738603573,-1.3585107484,7.1599,1.51857,6.935,34.005,29.4675,648.8813333333,1119.2496666667,871.29365,0.4130843763,14.6,6.933326,17.83333,7.53333,8.13333,122,0.8689270022,0.7508254454,0.1181015568,50.3333,16.4667
CTRL,24.2,17.44,0.48,57,1.27,0.135,9.85,114,212,487,93,1.2771326656,11.6105717219,16.5241914238,-0.1071154564,7.7436,1.58743,6.22,35.245,34.785,665.5191666667,1000.5765,NA,0.1517027116,13.89998,0.666666,10.76665,0,2.799999,114,0.7529905796,0.6493426147,0.1036479649,103.067,29.9
